"Status","Year","Age","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Education and Skills Funding Agency","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","FCDO Services","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Ministry of Justice","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Ministry of Justice","Unknown","25","25","[c]","[c]"
"In post","2021","16-19","HM Land Registry","HM Land Registry","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","HM Land Registry","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Ministry of Justice","Heterosexual / straight","55","55","22330","22850"
